Razão.Social,Resultado.Bruto.1,Resultado.Bruto.2
GAMA PARTICIPACOES S.A.,0,0
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,2.972.760,1.686.175
GERDAU S.A.,51.281.029,53.046.092
GOL LINHAS AEREAS INTELIGENTES S.A.,10.378.266,14.804.190
GP INVESTMENTS. LTD.,-223.572,447.02
GPC PARTICIPACOES S.A.,100.943,112.565
GRAZZIOTIN S.A.,167.550.915,177.578.657
GRENDENE S.A.,731.363,606.827
GRUPO SBF SA,761.541,848.258
GUARARAPES CONFECCOES S.A.,3.250.293,3.431.925
HAGA S.A. INDUSTRIA E COMERCIO,3.528.702,3.427.268
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,1.354.078,1.552.678
HELBOR EMPREENDIMENTOS S.A.,4.138.007,4.320.166
HERCULES S.A. FABRICA DE TALHERES,1.21,789
HOTEIS OTHON S.A.,49.223,42.592
HYPERA S.A.,10.556.983,10.841.754
IDEIASNET S.A.,64.151,66.397
IGB ELETRÔNICA S/A,2.635,2.882
IGUA SANEAMENTO S.A.,2.190.204,2.544.209
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,5.290.203,5.325.599
INDUSTRIAS J B DUARTE S.A.,0,0
INDUSTRIAS ROMI S.A.,1.242.087,1.407.534
INEPAR S.A. INDUSTRIA E CONSTRUCOES,1.473.029,1.429.638
INNCORP S.A.,0,0
INSTITUTO HERMES PARDINI S.A.,264.851,316.455
INTER CONSTRUTORA E INCORPORADORA S.A.,395.233,629.659
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,397.503,387.427
INVESTIMENTOS BEMGE S.A.,10.016,10.263
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,1.156.831,1.129.557
IOCHPE MAXION S.A.,1.012.027,957.575
IRB - BRASIL RESSEGUROS S.A.,934.611,793.475
ITAPEBI GERACAO DE ENERGIA S.A.,135.21,113.803
ITAU UNIBANCO HOLDING S.A.,1.552.797.000,1.613.947.000
ITAUSA INVESTIMENTOS ITAU S.A.,1.082.000,975
J. MACEDO S.A.,375.121,353.474
JBS S.A.,114.145.831,122.404.773
JEREISSATI PARTICIPACOES S.A.,361.59,362.771
JHSF PARTICIPACOES S.A.,4.815.061,4.980.142
JOAO FORTES ENGENHARIA S.A.,-70.786,-61.989
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,261.15,245.627
JSL S.A.,1.308.716,1.494.057
KARSTEN S.A.,96.084,93.801
KEPLER WEBER S.A.,38.612,95.454
KLABIN S.A.,29.633.743,37.275.367
LIBRA TERMINAL RIO S.A.,72.377,83.102
LIGHT S.A.,17.863.703,24.735.494
LIGHT SERVICOS DE ELETRICIDADE S.A.,1.384.839,2.208.311
LINX S.A.,322.887,372.346
LIQ PARTICIPAÇÕES S.A.,1.358.333,1.488.644
LITEL PARTICIPACOES S.A.,0,0
LITELA PARTICIPAÇÕES S.A.,0,0
LOCALIZA RENT A CAR S.A.,13.992.414,17.175.703
LOG COMMERCIAL PROPERTIES,76.638,91.733
LOG-IN LOGISTICA INTERMODAL S.A.,1.143.212,1.274.943
LOJAS AMERICANAS S.A.,4.013.891,4.324.368
LOJAS RENNER S.A.,3.418.043,3.891.156
